id_processo,nome_reu,detalhe_atuacao
1003522-58.2024.8.26.0428,Ativos S.A. - Securitizadora de Créditos Financeiros,Securitizadora de Créditos Financeiros
1005668-02.2024.8.26.0322,FIDC Multisegmentos NPL Ipanema VI Responsabilidade Limitada,Fundo de Investimento em Direitos Creditórios
0000868-91.2024.8.26.0242,Capital Consig Sociedade de Credito Direto S.A.,Instituição financeira
1004119-85.2023.8.26.0323,Itaú Unibanco S.A,Banco
1001696-88.2024.8.26.0236,Mooz Soluções Financeiras Ltda.,Instituição financeira
1001948-49.2024.8.26.0153,Banco Neon Pagamentos S.A.,Banco
1017098-93.2024.8.26.0016,Fundo de Investimento em Direitos Creditórios Não Padronizados NPL II,Instituição financeira
1000514-30.2025.8.26.0334,Mercado Pago Instituição de Pagamento Ltda,Instituição de Pagamento
1022545-84.2023.8.26.0020,"Nu Financeira S/A - Sociedade de Crédito, Financiamento e Investimento","Sociedade de Crédito, Financiamento e Investimento"
1000845-81.2025.8.26.0408,"LUIZACRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de crédito, financiamento e investimento"
1002475-60.2025.8.26.0704,Ativos S.A. Securitizadora de Créditos Financeiros,Securitizadora de Créditos Financeiros
1002354-19.2023.8.26.0634,Mercado Pago Instituição de Pagamento Ltda e MercadoLivre.com Atividades de Internet Ltda,Instituição de pagamento e comércio eletrônico
1000383-08.2025.8.26.0673,BANCO ITAU CONSIGNADO S.A.,Banco
1009779-04.2024.8.26.0007,Ativos S.A. Securitizadora de Créditos Financeiros,Instituição financeira
1000121-79.2025.8.26.0084,Banco Votorantim S.A.,Banco
1016404-42.2024.8.26.0011,Simplic Fundo de Investimento Em Direitos Creditórios Nao-padronizados,Fundo de Investimento em Direitos Creditórios
1000433-12.2025.8.26.0066,Fundo de Investimento Em Direitos Creditórios Angá Creditas Consignado Privado,Fundo de Investimento
1024455-84.2024.8.26.0482,Ativos S.A. Securitizadora de Créditos Financeiros,Securitizadora de Créditos Financeiros
1003528-69.2025.8.26.0577,BANCO BRADESCO S.A.,Banco
1004319-36.2024.8.26.0201,Fundo de Investimento Em Direitos Creditórios Multsegmentos NPL Ipanema VI - Não Padronizado,Fundo de Investimento em Direitos Creditórios
1008420-24.2025.8.26.0576,Ativos S.A. Securitizadora de Créditos Financeiros,Instituição financeira
1001327-52.2025.8.26.0368,BANCO BRADESCO S.A.,Banco
1000616-16.2025.8.26.0152,Fundo de Investimento em Direitos Creditórios Não Padronizados NPL II,Fundo de Investimento em Direitos Creditórios
1007700-49.2025.8.26.0223,Fundo de Investimento Em Direitos Creditórios Multsegmentos NPL Ipanema VI - Não Padronizado,Fundo de Investimento em Direitos Creditórios
1002340-80.2025.8.26.0176,BANCO BRADESCO S.A.,Banco
1040061-27.2017.8.26.0506,Banco Bradesco S/A,Banco
1006512-84.2024.8.26.0278,Banco Honda S/A,Banco
1004373-65.2025.8.26.0007,Mercado Pago Instituição de Pagamentos Ltda,Instituição de Pagamentos
1000165-53.2025.8.26.0584,Banco Bradesco S.A.,Banco
1010369-14.2025.8.26.0405,Banco do Brasil S/A,Banco
1064878-68.2024.8.26.0100,FIDC Multisegmentos NPL Ipanema VI Responsabilidade Limitada,Instituição financeira
1003527-24.2024.8.26.0576,Pefisa SA. Crédito Financiamento e Investimento,Banco
1089741-28.2023.8.26.0002,Banco Original S/A,Banco
1006619-46.2024.8.26.0079,Fundo de Investimento em Direitos Creditórios Não Padronizados NPL II - FIDC,Fundo de Investimento em Direitos Creditórios
1000551-63.2025.8.26.0526,Itaú Unibanco S/A,Banco
1010777-93.2025.8.26.0602,Banco CSF SA,Banco
1003783-06.2025.8.26.0002,Itapeva XI Multicarteira Fundo de Investimento em Direitos Creditórios Não Padronizados,Fundo de Investimento
1006417-62.2025.8.26.0361,Realize Crédito Financ.iamento e Investimento S/A,Instituição financeira
1061519-29.2024.8.26.0224,Itapeva XI Multicarteira Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,Fundo de Investimento em Direitos Creditórios
1003661-87.2025.8.26.0100,Fundo de Investimento em Direitos Creditórios Não Padronizados NPL II,Fundo de investimento em direitos creditórios
1019697-27.2023.8.26.0020,Ativos S.A. Securitizadora de Créditos Financeiros,Instituição financeira especializada em securitização de créditos
1020281-66.2024.8.26.0309,Fundo de Investimento Em Direitos Creditórios Multsegmentos NPL Ipanema VI - Não Padronizado,Fundo de Investimento em Direitos Creditórios
1020739-21.2025.8.26.0577,BANCO BRADESCO S.A.,Banco
1007894-30.2025.8.26.0100,"Nu Financeira S/A - Sociedade de Crédito, Financiamento e Investimento",Instituição financeira
1001836-35.2020.8.26.0278,BANCO LOSANGO S.A.,Banco
1000223-64.2025.8.26.0549,Banco Bradesco S/A,Banco
1053306-73.2024.8.26.0114,Ativos S.A. - Securitizadora de Créditos Financeiros,Securitizadora de Créditos Financeiros
1008719-20.2025.8.26.0020,Mooz Solucoes Financeiras Ltda,Instituição financeira
1008593-85.2023.8.26.0554,Fundo de Investimento Em Direitos Creditórios Multsegmentos Npl Ipanema Vi - Não Padronizado,Fundo de Investimento em Direitos Creditórios
1003955-18.2025.8.26.0302,AYMORE CREDITO FINANCIAMENTO E INVESTIMENTO S/A,Instituição financeira
1079583-37.2025.8.26.0100,ITAPEVA XI MULTICARTEIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Fundo de Investimento em Direitos Creditórios
1011861-23.2024.8.26.0196,Ipanema Crédito e Cobrança S/c Ltda,Instituição financeira
1006123-69.2025.8.26.0309,Ativos S.A. Securitizadora de Créditos Financeiros,Instituição financeira - prestadora de serviços de cobranças
1001372-11.2024.8.26.0071,Brb Banco de Brasília,Banco
1004549-90.2024.8.26.0003,Banco CSF S/A,Banco
1004715-41.2024.8.26.0127,Banco do Brasil S/A,Banco
1000943-79.2024.8.26.0512,Nu Pagamentos S.A.,Instituição de Pagamento
1014057-53.2025.8.26.0576,ITAPEVA XI MULTICARTEIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Fundo de Investimento em Direitos Creditórios
1009087-11.2024.8.26.0005,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTSEGMENTOS NPL IPANEMA VI - NÃO PADRONIZADO,Fundo de investimento em direitos creditórios
1005667-86.2025.8.26.0223,Visa do Brasil Empreendimentos Ltda,"Instituição financeira (titular da bandeira de cartão de crédito, licenciadora da marca)"
1001545-89.2024.8.26.0344,Banco Santander Brasil SA,Banco
1004014-32.2025.8.26.0358,"Zema Crédito, Financiamento e Investimento S/A",Instituição financeira
1013606-70.2025.8.26.0562,BANCO DO BRASIL S/A,Banco
1002755-12.2024.8.26.0075,"Cobuccio S/A Sociedade de Credito, Financiamento e Investimentos",Instituição financeira
1014574-86.2025.8.26.0405,BANCO BRADESCO S.A.,Banco
1028349-90.2023.8.26.0001,Cred - System Administradora de Cartões de Crédito LTDA,Administradora de Cartões de Crédito
1004383-40.2025.8.26.0127,Itaú Unibanco S.A,Banco
1027616-50.2025.8.26.0100,Recargapay Instituição de Pagamento Ltda,Instituição de Pagamento
1015093-21.2023.8.26.0344,Banco Santander (Brasil) S/A,Banco
1002157-92.2025.8.26.0408,Itapeva XI Multicarteira Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,Fundo de Investimento em Direitos Creditórios
1003247-49.2024.8.26.0157,Itapeva XI Multicarteira Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,Fundo de Investimento em Direitos Creditórios
1003440-03.2025.8.26.0554,BANCO SANTANDER (BRASIL) S.A.,Banco
1001152-97.2025.8.26.0452,Banco do Brasil S/A,Banco
1002230-14.2024.8.26.0533,BANCO PAN S.A.,Banco
1001785-03.2025.8.26.0099,Banco Original S/A,Banco
1109932-57.2024.8.26.0100,Banco Inter S/A,Banco
1000709-95.2025.8.26.0566,Fundo de Investimento Em Direitos Creditórios Multsegmentos NPL Ipanema VI - Não Padronizado,Fundo de Investimento em Direitos Creditórios
1003104-93.2023.8.26.0222,Mgw Ativos Fundo de Investimento Em Direitos Creditórios - Np e outro,Fundo de Investimento em Direitos Creditórios
1001181-96.2024.8.26.0157,BANCO DO BRASIL SA,Banco
1005146-88.2025.8.26.0079,SERASA S.A.,Instituição financeira (Cadastro de inadimplentes)
1204971-81.2024.8.26.0100,BANCO SANTANDER (BRASIL) S.A.,Banco
